gene	cluster
MA_440489g0010	Cluster1
MA_13849g0010	Cluster1
MA_102643g0010	Cluster1
MA_10437265g0010	Cluster1
MA_5156g0010	Cluster1
MA_91849g0010	Cluster1
MA_11339g0010	Cluster1
MA_587787g0010	Cluster1
MA_8872g0010	Cluster1
MA_10431597g0020	Cluster1
MA_92421g0010	Cluster1
MA_9965596g0010	Cluster1
MA_9929143g0010	Cluster1
MA_139833g0010	Cluster1
MA_10430977g0010	Cluster1
MA_43865g0010	Cluster1
MA_75826g0010	Cluster1
MA_10436648g0010	Cluster1
MA_105240g0010	Cluster1
MA_5692971g0010	Cluster1
MA_10435449g0020	Cluster1
MA_10431641g0010	Cluster1
MA_144878g0010	Cluster1
MA_9287008g0010	Cluster1
MA_959886g0010	Cluster1
MA_10427218g0010	Cluster1
MA_408078g0010	Cluster1
MA_10425967g0010	Cluster1
MA_8960362g0010	Cluster1
MA_10427339g0010	Cluster1
MA_8921185g0010	Cluster1
MA_4398g0010	Cluster1
MA_115849g0010	Cluster1
MA_10433982g0020	Cluster1
MA_9104691g0010	Cluster1
MA_6445g0010	Cluster1
MA_7178872g0010	Cluster1
MA_10693g0010	Cluster1
MA_10435563g0010	Cluster1
MA_10432716g0030	Cluster1
MA_10436888g0010	Cluster1
MA_959793g0010	Cluster1
MA_18863g0010	Cluster1
MA_3188670g0010	Cluster1
MA_111003g0010	Cluster1
MA_60111g0010	Cluster1
MA_10436799g0030	Cluster1
MA_68521g0010	Cluster1
MA_140535g0010	Cluster1
MA_2478g0010	Cluster1
MA_5693g0010	Cluster1
MA_72395g0010	Cluster1
MA_18818g0010	Cluster1
MA_10432000g0010	Cluster1
MA_9971388g0010	Cluster1
MA_57173g0020	Cluster1
MA_955269g0010	Cluster1
MA_10432213g0010	Cluster1
MA_10428616g0010	Cluster1
MA_286258g0010	Cluster1
MA_98760g0010	Cluster1
MA_205722g0010	Cluster1
MA_339358g0020	Cluster1
MA_119424g0010	Cluster1
MA_84660g0010	Cluster1
MA_72352g0010	Cluster1
MA_30531g0010	Cluster1
MA_39057g0010	Cluster1
MA_10426873g0010	Cluster1
MA_530154g0010	Cluster1
MA_8990287g0010	Cluster1
MA_93036g0020	Cluster1
MA_382408g0010	Cluster1
MA_121326g0010	Cluster1
MA_32563g0010	Cluster1
MA_107288g0010	Cluster1
MA_10436087g0020	Cluster1
MA_40566g0010	Cluster1
MA_879696g0010	Cluster1
MA_187114g0010	Cluster1
MA_78163g0020	Cluster1
MA_6711351g0010	Cluster1
MA_3650g0010	Cluster1
MA_10226013g0010	Cluster1
MA_46769g0010	Cluster1
MA_10427058g0010	Cluster1
MA_110221g0010	Cluster1
MA_105236g0010	Cluster1
MA_276627g0010	Cluster1
MA_10433000g0020	Cluster1
MA_105452g0010	Cluster1
MA_87543g0010	Cluster1
MA_5925983g0010	Cluster1
MA_177562g0020	Cluster1
MA_10435521g0020	Cluster1
MA_73153g0010	Cluster1
MA_7567986g0010	Cluster1
MA_7007329g0010	Cluster1
MA_126270g0010	Cluster1
MA_14261g0010	Cluster1
MA_10316458g0010	Cluster1
MA_94605g0020	Cluster1
MA_23426g0020	Cluster1
