gene	cluster
MA_8645109g0010	Cluster4
MA_10430785g0010	Cluster4
MA_10429057g0010	Cluster4
MA_4991268g0010	Cluster4
MA_10278721g0010	Cluster4
MA_871780g0010	Cluster4
MA_79692g0010	Cluster4
MA_9120657g0010	Cluster4
MA_414651g0010	Cluster4
MA_10428147g0030	Cluster4
MA_758654g0010	Cluster4
MA_10428812g0020	Cluster4
MA_9250152g0010	Cluster4
MA_9852481g0010	Cluster4
MA_7207904g0010	Cluster4
MA_78661g0010	Cluster4
MA_177206g0030	Cluster4
MA_67632g0010	Cluster4
MA_7480894g0010	Cluster4
MA_169080g0010	Cluster4
MA_20554g0010	Cluster4
MA_10436912g0010	Cluster4
MA_18804g0010	Cluster4
MA_49528g0010	Cluster4
MA_870412g0010	Cluster4
MA_10294412g0010	Cluster4
MA_8570132g0010	Cluster4
MA_7826635g0010	Cluster4
MA_484050g0010	Cluster4
MA_10427715g0010	Cluster4
MA_159801g0010	Cluster4
MA_10306333g0010	Cluster4
MA_10434832g0010	Cluster4
MA_168745g0010	Cluster4
MA_10435233g0010	Cluster4
MA_6297286g0010	Cluster4
MA_12174g0010	Cluster4
MA_174159g0010	Cluster4
MA_903607g0010	Cluster4
MA_808092g0010	Cluster4
MA_1924241g0010	Cluster4
MA_523427g0010	Cluster4
MA_242352g0010	Cluster4
MA_90870g0010	Cluster4
MA_10220g0010	Cluster4
MA_2306036g0010	Cluster4
MA_93993g0010	Cluster4
MA_18604g0010	Cluster4
MA_10434111g0010	Cluster4
MA_6240194g0010	Cluster4
MA_10435713g0010	Cluster4
MA_12471g0020	Cluster4
MA_172791g0010	Cluster4
MA_94211g0010	Cluster4
MA_10429967g0010	Cluster4
MA_453303g0010	Cluster4
MA_7119055g0010	Cluster4
MA_257116g0010	Cluster4
MA_10432127g0010	Cluster4
MA_185864g0010	Cluster4
MA_7066548g0010	Cluster4
MA_530010g0010	Cluster4
MA_637011g0010	Cluster4
MA_577291g0010	Cluster4
MA_470433g0010	Cluster4
MA_9766328g0010	Cluster4
MA_183980g0010	Cluster4
MA_10434103g0020	Cluster4
MA_35319g0010	Cluster4
MA_115045g0010	Cluster4
MA_9249169g0010	Cluster4
MA_93874g0010	Cluster4
MA_70277g0010	Cluster4
MA_10429084g0010	Cluster4
MA_172867g0010	Cluster4
MA_10056152g0020	Cluster4
MA_10426495g0010	Cluster4
MA_9146756g0010	Cluster4
MA_1111743g0010	Cluster4
MA_268327g0010	Cluster4
MA_7613720g0010	Cluster4
MA_10429880g0010	Cluster4
MA_10435056g0020	Cluster4
MA_9504g0010	Cluster4
MA_8402202g0010	Cluster4
MA_4570709g0010	Cluster4
MA_3809066g0010	Cluster4
MA_252930g0010	Cluster4
MA_109959g0010	Cluster4
MA_169766g0010	Cluster4
MA_10427542g0010	Cluster4
MA_127228g0010	Cluster4
MA_8358181g0010	Cluster4
MA_205235g0010	Cluster4
MA_6233677g0010	Cluster4
MA_8070734g0010	Cluster4
MA_50693g0010	Cluster4
MA_894048g0010	Cluster4
MA_247795g0010	Cluster4
MA_1991128g0010	Cluster4
MA_61502g0010	Cluster4
MA_76726g0010	Cluster4
MA_140950g0010	Cluster4
MA_10312536g0010	Cluster4
MA_10427154g0010	Cluster4
MA_10428995g0010	Cluster4
MA_52835g0010	Cluster4
MA_417026g0010	Cluster4
MA_63414g0010	Cluster4
MA_10299921g0010	Cluster4
MA_7025g0020	Cluster4
MA_72680g0010	Cluster4
MA_6489530g0010	Cluster4
MA_10428066g0010	Cluster4
MA_39209g0010	Cluster4
MA_11179g0010	Cluster4
MA_10429597g0010	Cluster4
MA_79667g0010	Cluster4
MA_19813g0020	Cluster4
MA_651220g0010	Cluster4
MA_5422066g0010	Cluster4
MA_181880g0010	Cluster4
MA_10433989g0010	Cluster4
MA_9316370g0010	Cluster4
MA_10432820g0010	Cluster4
MA_10430984g0020	Cluster4
MA_10427434g0010	Cluster4
MA_3796439g0010	Cluster4
MA_10429682g0010	Cluster4
MA_174377g0020	Cluster4
MA_2321333g0010	Cluster4
MA_86786g0010	Cluster4
MA_71513g0020	Cluster4
MA_4229641g0010	Cluster4
MA_14527g0010	Cluster4
MA_177815g0010	Cluster4
MA_18699g0010	Cluster4
MA_10429105g0010	Cluster4
MA_6249287g0010	Cluster4
MA_247144g0010	Cluster4
MA_650g0010	Cluster4
MA_10427736g0010	Cluster4
MA_296304g0010	Cluster4
MA_7172750g0010	Cluster4
MA_675192g0010	Cluster4
MA_10436366g0010	Cluster4
MA_7565128g0010	Cluster4
MA_10430660g0010	Cluster4
MA_10431778g0010	Cluster4
MA_23377g0010	Cluster4
MA_7558g0020	Cluster4
MA_9930317g0010	Cluster4
MA_176682g0020	Cluster4
MA_10181601g0010	Cluster4
MA_10326503g0010	Cluster4
MA_1104678g0010	Cluster4
MA_9903969g0010	Cluster4
MA_151646g0010	Cluster4
MA_10159141g0010	Cluster4
MA_8471497g0010	Cluster4
MA_10436794g0020	Cluster4
MA_30074g0010	Cluster4
MA_110915g0010	Cluster4
MA_10246088g0010	Cluster4
MA_10380053g0010	Cluster4
MA_95353g0010	Cluster4
MA_10426221g0010	Cluster4
MA_16536g0010	Cluster4
MA_10436277g0010	Cluster4
MA_9263088g0010	Cluster4
MA_6393858g0010	Cluster4
MA_8012684g0010	Cluster4
MA_7093481g0010	Cluster4
MA_10428609g0010	Cluster4
MA_149360g0010	Cluster4
MA_962416g0010	Cluster4
MA_328091g0010	Cluster4
MA_109318g0010	Cluster4
MA_674161g0010	Cluster4
MA_172087g0010	Cluster4
MA_510412g0010	Cluster4
MA_6778065g0010	Cluster4
MA_5869456g0010	Cluster4
MA_918717g0010	Cluster4
MA_200421g0010	Cluster4
MA_393063g0010	Cluster4
MA_10139759g0010	Cluster4
MA_365533g0010	Cluster4
MA_39506g0010	Cluster4
MA_10430197g0020	Cluster4
MA_10123589g0010	Cluster4
MA_10432542g0010	Cluster4
MA_58855g0010	Cluster4
MA_9683809g0010	Cluster4
MA_7492540g0010	Cluster4
MA_7906g0010	Cluster4
MA_10348055g0020	Cluster4
MA_6816589g0010	Cluster4
MA_10428098g0010	Cluster4
MA_132330g0010	Cluster4
MA_3460g0010	Cluster4
MA_79506g0010	Cluster4
MA_10436264g0010	Cluster4
MA_10360046g0010	Cluster4
MA_10426961g0010	Cluster4
MA_8894972g0010	Cluster4
MA_9034283g0010	Cluster4
MA_284153g0010	Cluster4
MA_94590g0010	Cluster4
MA_10289482g0010	Cluster4
MA_320498g0010	Cluster4
MA_10061366g0010	Cluster4
MA_10428618g0010	Cluster4
MA_9272850g0010	Cluster4
MA_105471g0010	Cluster4
MA_10433753g0010	Cluster4
MA_872267g0010	Cluster4
MA_114519g0010	Cluster4
MA_9110522g0010	Cluster4
MA_810737g0010	Cluster4
MA_10432924g0020	Cluster4
MA_10432875g0010	Cluster4
MA_10428721g0040	Cluster4
MA_25845g0010	Cluster4
MA_119265g0010	Cluster4
MA_55939g0010	Cluster4
MA_8769353g0010	Cluster4
MA_10431195g0010	Cluster4
MA_1712g0010	Cluster4
MA_90455g0010	Cluster4
MA_5514205g0010	Cluster4
MA_10431185g0010	Cluster4
MA_7555671g0010	Cluster4
MA_356418g0010	Cluster4
MA_44135g0010	Cluster4
MA_23931g0020	Cluster4
MA_133457g0010	Cluster4
MA_727454g0010	Cluster4
MA_80102g0010	Cluster4
MA_112068g0010	Cluster4
MA_10182874g0010	Cluster4
MA_9400291g0010	Cluster4
MA_8226519g0010	Cluster4
MA_474971g0010	Cluster4
MA_10305029g0020	Cluster4
MA_857387g0010	Cluster4
MA_161253g0010	Cluster4
MA_5690312g0010	Cluster4
MA_456489g0010	Cluster4
MA_10427413g0010	Cluster4
MA_832501g0010	Cluster4
MA_100179g0010	Cluster4
MA_8028655g0010	Cluster4
MA_71519g0010	Cluster4
MA_120599g0020	Cluster4
MA_82940g0010	Cluster4
MA_10197498g0010	Cluster4
MA_10425912g0010	Cluster4
MA_313820g0010	Cluster4
MA_10428310g0010	Cluster4
MA_585937g0010	Cluster4
MA_8311430g0010	Cluster4
MA_139912g0010	Cluster4
MA_129159g0010	Cluster4
MA_109736g0010	Cluster4
MA_10213249g0010	Cluster4
MA_6144979g0010	Cluster4
MA_1140319g0020	Cluster4
MA_10427380g0010	Cluster4
MA_159932g0010	Cluster4
MA_48752g0010	Cluster4
MA_10432061g0010	Cluster4
MA_219305g0010	Cluster4
MA_9120997g0010	Cluster4
MA_10434836g0010	Cluster4
MA_7498912g0010	Cluster4
MA_10425941g0010	Cluster4
MA_127720g0010	Cluster4
MA_9585895g0010	Cluster4
MA_10435905g0040	Cluster4
MA_175234g0010	Cluster4
MA_44472g0010	Cluster4
MA_466521g0010	Cluster4
MA_10431906g0010	Cluster4
MA_10436836g0020	Cluster4
MA_174220g0010	Cluster4
MA_169451g0010	Cluster4
MA_1038528g0010	Cluster4
MA_421080g0010	Cluster4
MA_10433522g0020	Cluster4
MA_86300g0010	Cluster4
MA_10328264g0010	Cluster4
MA_10273116g0010	Cluster4
MA_10434940g0020	Cluster4
MA_10427259g0010	Cluster4
MA_475302g0010	Cluster4
MA_1753756g0010	Cluster4
MA_172007g0010	Cluster4
MA_10428194g0010	Cluster4
MA_79622g0010	Cluster4
MA_10434026g0010	Cluster4
MA_10048120g0010	Cluster4
MA_10426171g0020	Cluster4
MA_6729522g0010	Cluster4
MA_3245990g0010	Cluster4
MA_10433548g0010	Cluster4
MA_10434103g0010	Cluster4
MA_930859g0010	Cluster4
MA_8152380g0010	Cluster4
MA_120886g0010	Cluster4
MA_918435g0010	Cluster4
MA_842441g0010	Cluster4
MA_9998073g0010	Cluster4
MA_9518996g0010	Cluster4
MA_10432909g0010	Cluster4
MA_38156g0010	Cluster4
MA_9868712g0010	Cluster4
MA_10430614g0010	Cluster4
MA_29703g0010	Cluster4
MA_208856g0010	Cluster4
MA_78876g0010	Cluster4
MA_181208g0010	Cluster4
MA_10426101g0020	Cluster4
MA_10431045g0010	Cluster4
MA_164007g0010	Cluster4
MA_6856417g0010	Cluster4
MA_523069g0010	Cluster4
MA_10437095g0020	Cluster4
MA_10433399g0010	Cluster4
MA_10430110g0010	Cluster4
MA_648702g0010	Cluster4
MA_8227330g0010	Cluster4
MA_10427763g0010	Cluster4
MA_6687444g0010	Cluster4
MA_73609g0010	Cluster4
MA_556151g0010	Cluster4
MA_8767494g0010	Cluster4
MA_10426747g0010	Cluster4
MA_10433079g0010	Cluster4
MA_10430557g0010	Cluster4
MA_10428740g0010	Cluster4
MA_10427922g0010	Cluster4
MA_9822718g0010	Cluster4
MA_10434004g0010	Cluster4
MA_10427473g0010	Cluster4
MA_448549g0010	Cluster4
MA_10436133g0010	Cluster4
MA_10291382g0010	Cluster4
MA_10426927g0010	Cluster4
MA_1118275g0010	Cluster4
MA_631234g0010	Cluster4
MA_10431966g0020	Cluster4
MA_190972g0010	Cluster4
MA_6761g0010	Cluster4
MA_10623g0010	Cluster4
MA_296126g0010	Cluster4
MA_290265g0010	Cluster4
MA_10368868g0010	Cluster4
MA_15972g0010	Cluster4
MA_10435503g0010	Cluster4
MA_10430352g0010	Cluster4
MA_10372336g0010	Cluster4
MA_64080g0010	Cluster4
MA_4841455g0010	Cluster4
MA_213701g0010	Cluster4
MA_10426628g0010	Cluster4
MA_63057g0010	Cluster4
MA_171673g0010	Cluster4
MA_8153450g0010	Cluster4
MA_10426182g0010	Cluster4
MA_10430807g0020	Cluster4
MA_10428582g0010	Cluster4
MA_5966095g0010	Cluster4
MA_4364432g0010	Cluster4
MA_10341095g0010	Cluster4
MA_10430520g0010	Cluster4
MA_107648g0010	Cluster4
MA_10286324g0010	Cluster4
MA_354876g0010	Cluster4
MA_710355g0010	Cluster4
MA_10431403g0010	Cluster4
MA_133717g0010	Cluster4
MA_8806113g0010	Cluster4
MA_163953g0010	Cluster4
MA_7718g0010	Cluster4
MA_10431434g0010	Cluster4
MA_161904g0010	Cluster4
MA_454449g0010	Cluster4
MA_10427777g0020	Cluster4
MA_2998g0020	Cluster4
MA_10432285g0010	Cluster4
MA_308926g0010	Cluster4
MA_104052g0010	Cluster4
MA_1569645g0010	Cluster4
MA_162585g0010	Cluster4
MA_10435493g0010	Cluster4
MA_10434230g0010	Cluster4
MA_196693g0010	Cluster4
MA_558174g0010	Cluster4
MA_45650g0010	Cluster4
MA_171367g0020	Cluster4
MA_9682339g0010	Cluster4
MA_15949g0010	Cluster4
MA_3584712g0010	Cluster4
MA_9320379g0010	Cluster4
MA_168478g0020	Cluster4
MA_864330g0010	Cluster4
MA_10430059g0010	Cluster4
MA_10427139g0010	Cluster4
MA_127098g0010	Cluster4
MA_10427317g0010	Cluster4
MA_5911346g0010	Cluster4
MA_10430346g0010	Cluster4
MA_931319g0010	Cluster4
MA_7609762g0010	Cluster4
MA_10436981g0010	Cluster4
MA_937859g0010	Cluster4
MA_5089262g0010	Cluster4
MA_10589g0020	Cluster4
MA_17805g0020	Cluster4
MA_179146g0010	Cluster4
MA_29057g0010	Cluster4
MA_128393g0010	Cluster4
MA_10147765g0010	Cluster4
MA_20372g0020	Cluster4
MA_29732g0010	Cluster4
MA_450599g0010	Cluster4
MA_77650g0010	Cluster4
MA_9935197g0010	Cluster4
MA_54278g0010	Cluster4
MA_91276g0010	Cluster4
MA_405763g0010	Cluster4
MA_9283121g0010	Cluster4
MA_981g0010	Cluster4
MA_9476706g0010	Cluster4
MA_71687g0020	Cluster4
MA_71687g0010	Cluster4
MA_4691689g0010	Cluster4
MA_10203127g0010	Cluster4
MA_1193810g0010	Cluster4
MA_4342799g0010	Cluster4
MA_407081g0010	Cluster4
MA_10426540g0010	Cluster4
MA_10350112g0010	Cluster4
MA_5720787g0010	Cluster4
MA_10364181g0020	Cluster4
MA_10426602g0010	Cluster4
MA_9021425g0010	Cluster4
MA_666715g0010	Cluster4
MA_732576g0010	Cluster4
MA_140116g0010	Cluster4
MA_5456g0010	Cluster4
MA_505653g0010	Cluster4
MA_10435531g0010	Cluster4
MA_132704g0010	Cluster4
MA_5031942g0010	Cluster4
MA_88015g0010	Cluster4
MA_10427777g0010	Cluster4
MA_10434274g0010	Cluster4
MA_182673g0020	Cluster4
MA_172936g0010	Cluster4
MA_139926g0010	Cluster4
MA_636769g0010	Cluster4
MA_79191g0010	Cluster4
MA_890463g0010	Cluster4
MA_123972g0010	Cluster4
MA_570189g0010	Cluster4
MA_7670835g0010	Cluster4
MA_193560g0010	Cluster4
MA_6324344g0010	Cluster4
MA_11517g0010	Cluster4
MA_76149g0020	Cluster4
MA_194814g0010	Cluster4
MA_95088g0010	Cluster4
MA_78775g0010	Cluster4
MA_95631g0010	Cluster4
MA_9462435g0010	Cluster4
MA_50141g0010	Cluster4
MA_58957g0010	Cluster4
MA_897214g0010	Cluster4
MA_308055g0010	Cluster4
MA_10361993g0010	Cluster4
MA_37080g0010	Cluster4
MA_10429471g0010	Cluster4
MA_9202746g0010	Cluster4
MA_585675g0010	Cluster4
MA_39480g0020	Cluster4
MA_10435838g0010	Cluster4
MA_10427019g0010	Cluster4
MA_496893g0010	Cluster4
MA_10431042g0020	Cluster4
MA_10432337g0020	Cluster4
MA_8474g0010	Cluster4
MA_65007g0010	Cluster4
MA_10002549g0010	Cluster4
MA_690423g0010	Cluster4
MA_8518678g0010	Cluster4
MA_3831000g0010	Cluster4
MA_616192g0010	Cluster4
MA_324587g0010	Cluster4
MA_83030g0010	Cluster4
MA_3262774g0010	Cluster4
MA_32560g0010	Cluster4
MA_8287057g0010	Cluster4
MA_89637g0010	Cluster4
MA_171402g0010	Cluster4
MA_9197846g0010	Cluster4
MA_28218g0010	Cluster4
MA_10436520g0020	Cluster4
MA_10430792g0010	Cluster4
MA_1552801g0010	Cluster4
MA_3507g0010	Cluster4
MA_56135g0010	Cluster4
MA_87731g0010	Cluster4
MA_8219429g0010	Cluster4
MA_10426510g0010	Cluster4
MA_10421102g0010	Cluster4
MA_16831g0010	Cluster4
MA_1527239g0010	Cluster4
MA_635781g0010	Cluster4
MA_785546g0010	Cluster4
MA_9582930g0010	Cluster4
MA_10429825g0010	Cluster4
MA_31416g0010	Cluster4
MA_907841g0010	Cluster4
MA_10431894g0010	Cluster4
MA_241806g0010	Cluster4
MA_211655g0010	Cluster4
MA_10055704g0010	Cluster4
MA_10341128g0010	Cluster4
MA_10431106g0030	Cluster4
MA_123682g0010	Cluster4
MA_123163g0010	Cluster4
MA_7524311g0010	Cluster4
MA_54542g0010	Cluster4
MA_437243g0010	Cluster4
MA_10434184g0010	Cluster4
MA_8723598g0010	Cluster4
MA_5401g0020	Cluster4
MA_9657222g0010	Cluster4
MA_6614456g0010	Cluster4
MA_10436419g0010	Cluster4
MA_10435571g0020	Cluster4
MA_10434893g0010	Cluster4
MA_10434248g0020	Cluster4
MA_67001g0010	Cluster4
MA_7241g0010	Cluster4
MA_8767733g0010	Cluster4
MA_8009090g0010	Cluster4
MA_10435484g0010	Cluster4
MA_10431390g0010	Cluster4
MA_114255g0020	Cluster4
MA_1725826g0010	Cluster4
MA_6176566g0010	Cluster4
MA_10430240g0010	Cluster4
MA_218433g0010	Cluster4
MA_27336g0010	Cluster4
MA_10435474g0010	Cluster4
MA_10434550g0010	Cluster4
MA_10432509g0020	Cluster4
MA_6400456g0010	Cluster4
MA_38286g0010	Cluster4
MA_10435886g0010	Cluster4
MA_974972g0010	Cluster4
MA_67650g0010	Cluster4
MA_20391g0010	Cluster4
MA_10345357g0010	Cluster4
MA_10427747g0010	Cluster4
MA_4291773g0010	Cluster4
MA_10428756g0010	Cluster4
MA_264314g0010	Cluster4
MA_548491g0010	Cluster4
MA_7935862g0010	Cluster4
MA_7085077g0010	Cluster4
MA_1170094g0010	Cluster4
MA_566086g0010	Cluster4
MA_10426375g0010	Cluster4
MA_8047789g0010	Cluster4
MA_106432g0010	Cluster4
MA_98294g0010	Cluster4
MA_81670g0010	Cluster4
MA_23604g0010	Cluster4
MA_10430724g0020	Cluster4
MA_10190371g0010	Cluster4
MA_69028g0010	Cluster4
MA_10311407g0020	Cluster4
MA_91734g0010	Cluster4
MA_10436446g0010	Cluster4
MA_9927384g0010	Cluster4
MA_9915809g0010	Cluster4
MA_10435065g0020	Cluster4
MA_118767g0010	Cluster4
MA_10337735g0010	Cluster4
MA_8990810g0010	Cluster4
MA_119926g0010	Cluster4
MA_8361g0010	Cluster4
MA_37206g0010	Cluster4
MA_103565g0010	Cluster4
MA_78838g0010	Cluster4
MA_39041g0010	Cluster4
MA_14956g0020	Cluster4
MA_196874g0010	Cluster4
MA_134156g0010	Cluster4
MA_7665128g0010	Cluster4
MA_169394g0010	Cluster4
MA_9999544g0020	Cluster4
MA_175932g0020	Cluster4
MA_7841660g0010	Cluster4
MA_8652836g0010	Cluster4
MA_8320979g0010	Cluster4
MA_487871g0010	Cluster4
MA_4969340g0010	Cluster4
MA_98338g0020	Cluster4
MA_70651g0010	Cluster4
MA_10427428g0010	Cluster4
MA_73579g0010	Cluster4
MA_881874g0010	Cluster4
MA_10400847g0010	Cluster4
MA_8513206g0010	Cluster4
MA_417807g0010	Cluster4
MA_912035g0010	Cluster4
MA_48607g0010	Cluster4
MA_125090g0010	Cluster4
MA_90282g0010	Cluster4
MA_138189g0010	Cluster4
MA_9185616g0010	Cluster4
MA_10436036g0010	Cluster4
MA_10106734g0010	Cluster4
MA_10137141g0010	Cluster4
MA_17957g0010	Cluster4
MA_10397484g0010	Cluster4
MA_162616g0010	Cluster4
MA_948037g0010	Cluster4
MA_10429875g0010	Cluster4
MA_39480g0010	Cluster4
MA_27352g0010	Cluster4
MA_10385015g0010	Cluster4
MA_1163813g0020	Cluster4
MA_746053g0020	Cluster4
MA_253636g0010	Cluster4
MA_10433214g0010	Cluster4
MA_10434465g0010	Cluster4
MA_278339g0010	Cluster4
MA_215039g0010	Cluster4
MA_9582374g0010	Cluster4
MA_501528g0010	Cluster4
MA_21591g0010	Cluster4
MA_32518g0010	Cluster4
MA_10077277g0010	Cluster4
MA_8122611g0010	Cluster4
MA_10426501g0010	Cluster4
MA_10437270g0010	Cluster4
MA_376013g0010	Cluster4
MA_169151g0010	Cluster4
MA_10228764g0010	Cluster4
MA_10084120g0010	Cluster4
MA_10432565g0010	Cluster4
MA_17250g0010	Cluster4
MA_2000g0010	Cluster4
MA_5509068g0010	Cluster4
MA_124774g0010	Cluster4
MA_10432440g0010	Cluster4
MA_10428530g0010	Cluster4
MA_1006495g0010	Cluster4
MA_201937g0010	Cluster4
MA_10436698g0020	Cluster4
MA_460847g0010	Cluster4
MA_634086g0010	Cluster4
MA_8643219g0010	Cluster4
MA_2110g0010	Cluster4
MA_172193g0010	Cluster4
MA_6090479g0010	Cluster4
MA_908464g0010	Cluster4
MA_21566g0010	Cluster4
MA_47428g0010	Cluster4
MA_178744g0010	Cluster4
MA_10431751g0010	Cluster4
MA_10436931g0030	Cluster4
MA_10253824g0010	Cluster4
MA_10072425g0010	Cluster4
MA_101664g0010	Cluster4
MA_10171355g0010	Cluster4
MA_411461g0010	Cluster4
MA_17819g0010	Cluster4
MA_8377447g0010	Cluster4
MA_10201728g0010	Cluster4
MA_658522g0010	Cluster4
MA_134497g0010	Cluster4
MA_1151418g0020	Cluster4
MA_10434523g0010	Cluster4
MA_92381g0010	Cluster4
MA_63583g0010	Cluster4
MA_9037936g0010	Cluster4
MA_8463304g0010	Cluster4
MA_10040687g0010	Cluster4
MA_499284g0010	Cluster4
MA_495157g0010	Cluster4
MA_74958g0010	Cluster4
MA_79106g0010	Cluster4
MA_9937722g0010	Cluster4
MA_10148431g0010	Cluster4
MA_937608g0020	Cluster4
MA_5784027g0010	Cluster4
MA_333254g0010	Cluster4
MA_8738781g0010	Cluster4
MA_39267g0010	Cluster4
MA_6258841g0010	Cluster4
MA_8534059g0010	Cluster4
MA_488892g0010	Cluster4
MA_92853g0010	Cluster4
MA_242560g0010	Cluster4
MA_18358g0010	Cluster4
MA_8151734g0010	Cluster4
MA_230203g0010	Cluster4
MA_82908g0010	Cluster4
MA_24338g0010	Cluster4
MA_10433714g0010	Cluster4
MA_10429215g0010	Cluster4
MA_174037g0010	Cluster4
MA_3697435g0010	Cluster4
MA_433264g0010	Cluster4
MA_343985g0010	Cluster4
MA_5344339g0010	Cluster4
MA_9543055g0010	Cluster4
MA_6584107g0020	Cluster4
MA_10348291g0010	Cluster4
MA_10435497g0020	Cluster4
MA_1840174g0010	Cluster4
MA_7878406g0010	Cluster4
MA_10217406g0010	Cluster4
MA_10436352g0010	Cluster4
MA_238344g0010	Cluster4
MA_9723953g0010	Cluster4
MA_662843g0010	Cluster4
MA_123678g0010	Cluster4
MA_10428468g0020	Cluster4
MA_4329325g0010	Cluster4
MA_121070g0010	Cluster4
MA_886091g0010	Cluster4
MA_9763g0010	Cluster4
MA_10433340g0010	Cluster4
MA_119005g0010	Cluster4
MA_387513g0010	Cluster4
MA_29600g0010	Cluster4
MA_2411151g0010	Cluster4
MA_8886304g0010	Cluster4
MA_121478g0010	Cluster4
MA_6767965g0010	Cluster4
MA_105022g0010	Cluster4
MA_943652g0010	Cluster4
MA_10428092g0010	Cluster4
MA_18951g0010	Cluster4
MA_10360085g0010	Cluster4
MA_10432956g0010	Cluster4
MA_18376g0010	Cluster4
MA_39755g0010	Cluster4
MA_87363g0010	Cluster4
MA_269999g0010	Cluster4
MA_101038g0010	Cluster4
MA_117467g0010	Cluster4
MA_175626g0010	Cluster4
MA_20674g0010	Cluster4
MA_714787g0010	Cluster4
MA_3922g0010	Cluster4
MA_95959g0010	Cluster4
MA_206492g0010	Cluster4
MA_10429107g0010	Cluster4
MA_8836240g0010	Cluster4
MA_109297g0010	Cluster4
MA_441626g0010	Cluster4
MA_10433702g0010	Cluster4
MA_125774g0010	Cluster4
MA_404137g0010	Cluster4
MA_386726g0010	Cluster4
MA_417126g0010	Cluster4
MA_137389g0010	Cluster4
MA_470152g0010	Cluster4
MA_10428711g0010	Cluster4
MA_10434506g0010	Cluster4
MA_251894g0010	Cluster4
MA_810482g0010	Cluster4
MA_181240g0010	Cluster4
MA_10266892g0010	Cluster4
MA_10429298g0010	Cluster4
MA_305120g0010	Cluster4
MA_10436442g0010	Cluster4
MA_10435910g0010	Cluster4
MA_7277252g0010	Cluster4
MA_5879g0020	Cluster4
MA_10431406g0010	Cluster4
MA_6386204g0010	Cluster4
MA_46554g0010	Cluster4
MA_10138732g0010	Cluster4
MA_476742g0010	Cluster4
MA_847432g0010	Cluster4
MA_916g0010	Cluster4
MA_35885g0010	Cluster4
MA_32067g0010	Cluster4
MA_38611g0010	Cluster4
MA_10431202g0010	Cluster4
MA_221164g0010	Cluster4
MA_107766g0010	Cluster4
MA_79203g0010	Cluster4
MA_55444g0010	Cluster4
MA_267190g0010	Cluster4
MA_7464g0010	Cluster4
MA_55028g0020	Cluster4
MA_9061330g0010	Cluster4
MA_108374g0010	Cluster4
MA_4555939g0010	Cluster4
MA_9836914g0010	Cluster4
MA_10428888g0010	Cluster4
MA_10427785g0010	Cluster4
MA_6153g0010	Cluster4
MA_53263g0020	Cluster4
MA_9621g0010	Cluster4
MA_7786061g0010	Cluster4
MA_10427719g0010	Cluster4
MA_133888g0010	Cluster4
MA_263616g0010	Cluster4
MA_112722g0010	Cluster4
MA_624892g0010	Cluster4
MA_5356g0020	Cluster4
MA_115757g0010	Cluster4
MA_90090g0010	Cluster4
MA_5100241g0010	Cluster4
MA_323727g0010	Cluster4
MA_10432508g0010	Cluster4
MA_793260g0010	Cluster4
MA_1160327g0010	Cluster4
MA_10434476g0010	Cluster4
MA_4951051g0010	Cluster4
MA_433288g0010	Cluster4
MA_453483g0010	Cluster4
MA_8759343g0010	Cluster4
MA_9311730g0010	Cluster4
MA_10393806g0010	Cluster4
MA_3361742g0010	Cluster4
MA_10433496g0010	Cluster4
MA_622129g0010	Cluster4
MA_1889g0010	Cluster4
MA_3240g0020	Cluster4
MA_20409g0020	Cluster4
MA_2181622g0010	Cluster4
MA_117177g0010	Cluster4
MA_493420g0010	Cluster4
MA_10365113g0010	Cluster4
MA_10434698g0020	Cluster4
MA_10436961g0010	Cluster4
MA_19758g0010	Cluster4
MA_8300450g0010	Cluster4
MA_7411g0010	Cluster4
MA_10432204g0010	Cluster4
MA_130803g0010	Cluster4
MA_392853g0010	Cluster4
MA_113276g0030	Cluster4
MA_10331743g0010	Cluster4
MA_271800g0010	Cluster4
MA_32269g0010	Cluster4
MA_126442g0020	Cluster4
MA_86278g0040	Cluster4
MA_7516479g0010	Cluster4
MA_206103g0010	Cluster4
MA_9958895g0010	Cluster4
MA_9100264g0010	Cluster4
MA_5339g0010	Cluster4
MA_171220g0010	Cluster4
MA_185766g0010	Cluster4
MA_10116475g0010	Cluster4
MA_155776g0010	Cluster4
MA_20176g0010	Cluster4
MA_6446g0010	Cluster4
MA_93277g0010	Cluster4
MA_897588g0010	Cluster4
MA_42039g0010	Cluster4
MA_9983341g0010	Cluster4
MA_10431605g0010	Cluster4
MA_43358g0010	Cluster4
MA_10428422g0010	Cluster4
MA_10426440g0010	Cluster4
MA_10237023g0010	Cluster4
MA_30406g0010	Cluster4
MA_9043434g0010	Cluster4
MA_5212990g0010	Cluster4
MA_117463g0010	Cluster4
MA_111545g0020	Cluster4
MA_250254g0010	Cluster4
MA_179934g0030	Cluster4
MA_8979g0020	Cluster4
MA_9831023g0010	Cluster4
MA_7881862g0010	Cluster4
MA_10428140g0010	Cluster4
MA_166544g0010	Cluster4
MA_41607g0010	Cluster4
MA_2389043g0010	Cluster4
G10D_divergenti_4	Cluster4
MA_10426982g0010	Cluster4
MA_396911g0010	Cluster4
MA_14860g0010	Cluster4
MA_8060246g0010	Cluster4
MA_10431240g0010	Cluster4
MA_9566834g0010	Cluster4
MA_563992g0010	Cluster4
